skills,interests,strengths,weaknesses,personality_work_type,personality_work_style,personality_env_pref,personality_stress_handling,learning_formats,learning_pace,mode_preference,preferred_work_environment,salary_expectation,target_recommended_career
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Java"", ""React""]","[""AI"", ""Data Science"", ""Research"", ""Robotics""]","[""Multi-tasking"", ""Time Management"", ""Programming"", ""Patience""]","[""Emotional Overreaction"", ""Difficulty Delegating"", ""Taking on Too Much Work"", ""Social Anxiety""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""Workshops"", ""Hands-on labs"", ""Interactive quizzes""]",Moderate schedule,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Fast-paced"", ""Leadership-heavy""]",10–20 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Prototyping""]","[""AI"", ""Data Science"", ""Research"", ""DevOps"", ""Robotics""]","[""Collaboration"", ""Time Management"", ""Patience"", ""Active Listening"", ""Quick Learning"", ""Decision Making"", ""Attention to Detail""]","[""Emotional Overreaction"", ""Social Anxiety"", ""Overcommitting"", ""Work-Life Balance Issues""]",Individual contributor,Analytical / data-driven,Dynamic environment,Calm under pressure,"[""One-on-one tutoring"", ""Webinars"", ""Workshops"", ""Peer learning / Study groups""]",Intensive / bootcamp,Online only,"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Structured / Process-driven""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Power BI"", ""GCP""]","[""AI"", ""Data Science"", ""Research""]","[""Strategic Planning"", ""Communication"", ""Technical Ability"", ""Decision Making"", ""Motivation"", ""Critical Thinking"", ""Creativity""]","[""Disorganization"", ""Time Estimation Issues"", ""Stress Management"", ""Difficulty Prioritizing""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""One-on-one tutoring"", ""Bootcamps"", ""Text / Articles""]",Relaxed / self-paced,Online only,"[""Quiet & Focused"", ""Flexible / Hybrid""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research"", ""Cybersecurity""]","[""Resilience"", ""Coding"", ""Attention to Detail"", ""Collaboration""]","[""Fear of Failure"", ""Taking on Too Much Work"", ""Easily Distracted""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Interactive quizzes"", ""One-on-one tutoring"", ""Workshops""]",Moderate schedule,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Collaborative"", ""Creative / Open""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""UI/UX Design""]","[""AI"", ""Data Science"", ""Research"", ""Product Design"", ""Startups & Entrepreneurship""]","[""Conflict Resolution"", ""Quick Learning"", ""Creativity"", ""Strategic Planning"", ""Active Listening""]","[""Introversion in Groups""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Video lectures"", ""Hands-on labs"", ""Text / Articles"", ""One-on-one tutoring""]",Moderate schedule,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Linux"", ""C++""]","[""AI"", ""Data Science"", ""Research"", ""IoT"", ""Mobile Development""]","[""Discipline"", ""Multi-tasking"", ""Teamwork"", ""Confidence"", ""Self-Management"", ""Resilience"", ""Conflict Resolution""]","[""Social Anxiety"", ""Easily Distracted"", ""Time Estimation Issues"", ""Overcommitting""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""Project-based"", ""Text / Articles""]",Intensive / bootcamp,Online only,"[""Quiet & Focused"", ""Flexible / Hybrid""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research"", ""Social Impact"", ""Business & Analytics""]","[""Leadership"", ""Motivation"", ""Emotional Intelligence""]","[""Easily Distracted"", ""Public Speaking"", ""Underestimating Tasks"", ""Emotional Overreaction""]",Individual contributor,Analytical / data-driven,Dynamic environment,Calm under pressure,"[""Workshops"", ""Bootcamps"", ""Hands-on labs""]",Relaxed / self-paced,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid""]",10–20 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""React Native"", ""Flask""]","[""AI"", ""Data Science"", ""Research"", ""Product Design"", ""Business & Analytics""]","[""Multi-tasking"", ""Decision Making"", ""Conflict Resolution"", ""Problem Solving"", ""Emotional Intelligence"", ""Collaboration"", ""Open-Mindedness""]","[""Introversion in Groups"", ""Disorganization"", ""Stress Management"", ""Lack of Assertiveness""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Workshops"", ""One-on-one tutoring"", ""Video lectures""]",Relaxed / self-paced,Online only,"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Leadership-heavy"", ""Fast-paced""]",10–20 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""GCP"", ""Kubernetes""]","[""AI"", ""Data Science"", ""Research"", ""Product Design""]","[""Creativity"", ""Leadership"", ""Decision Making"", ""Motivation"", ""Teamwork""]","[""Public Speaking"", ""Detail Overload"", ""Time Estimation Issues""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""Interactive quizzes""]",Intensive / bootcamp,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Office Workspace""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""TypeScript"", ""Docker""]","[""AI"", ""Data Science"", ""Research""]","[""Attention to Detail"", ""Patience"", ""Technical Ability"", ""Creativity"", ""Decision Making""]","[""Overthinking"", ""Self-Doubt"", ""Impatience"", ""Emotional Overreaction""]",Individual contributor,Analytical / data-driven,Dynamic environment,Calm under pressure,"[""Video lectures"", ""Project-based""]",Intensive / bootcamp,Online only,"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Fast-paced""]",20+ LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Kubernetes""]","[""AI"", ""Data Science"", ""Research"", ""Finance & Markets"", ""IoT""]","[""Communication"", ""Resourcefulness"", ""Emotional Intelligence"", ""Conflict Resolution"", ""Leadership"", ""Patience""]","[""Impatience"", ""Detail Overload"", ""Fear of Failure""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""Webinars"", ""Hands-on labs"", ""Project-based""]",Intensive / bootcamp,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid""]",3–6 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Node.js""]","[""AI"", ""Data Science"", ""Research"", ""Business & Analytics""]","[""Decision Making"", ""Technical Ability"", ""Attention to Detail"", ""Presentation Skills""]","[""Time Estimation Issues"", ""Self-Doubt""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Video lectures"", ""Bootcamps"", ""Webinars""]",Moderate schedule,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid""]",10–20 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Django""]","[""AI"", ""Data Science"", ""Research"", ""Education & Teaching"", ""Web Development""]","[""Emotional Intelligence"", ""Critical Thinking"", ""Confidence"", ""Collaboration""]","[""Low Risk-Taking"", ""Self-Doubt"", ""Work-Life Balance Issues""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Project-based"", ""Workshops""]",Relaxed / self-paced,Online only,"[""Quiet & Focused"", ""Flexible / Hybrid""]",20+ LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research"", ""DevOps""]","[""Resourcefulness"", ""Strategic Planning"", ""Goal Orientation"", ""Patience"", ""Active Listening""]","[""Stress Management"", ""Overthinking""]",Individual contributor,Analytical / data-driven,Dynamic environment,Calm under pressure,"[""Peer learning / Study groups"", ""One-on-one tutoring""]",Intensive / bootcamp,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid""]",20+ LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Docker"", ""Product Management"", ""Networking""]","[""AI"", ""Data Science"", ""Research""]","[""Strategic Planning"", ""Problem Solving"", ""Organizational Skills"", ""Decision Making"", ""Adaptability""]","[""Introversion in Groups"", ""Lack of Assertiveness""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""One-on-one tutoring"", ""Interactive quizzes"", ""Hands-on labs"", ""Project-based""]",Relaxed / self-paced,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid""]",10–20 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Docker"", ""Kubernetes""]","[""AI"", ""Data Science"", ""Research""]","[""Innovation"", ""Technical Ability"", ""Attention to Detail""]","[""Procrastination""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""One-on-one tutoring""]",Relaxed / self-paced,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Collaborative""]",3–6 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research"", ""Game Development"", ""Mobile Development""]","[""Organizational Skills"", ""Communication"", ""Time Management""]","[""Overcommitting""]",Individual contributor,Analytical / data-driven,Dynamic environment,Calm under pressure,"[""Bootcamps"", ""One-on-one tutoring"", ""Project-based"", ""Webinars""]",Intensive / bootcamp,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Collaborative""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Linux"", ""Deep Learning"", ""Networking""]","[""AI"", ""Data Science"", ""Research"", ""Cybersecurity""]","[""Programming"", ""Teamwork"", ""Problem Solving"", ""Resourcefulness"", ""Motivation""]","[""Social Anxiety"", ""Inconsistent Focus"", ""Stress Management"", ""Trouble Saying No""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""One-on-one tutoring"", ""Workshops"", ""Interactive quizzes""]",Moderate schedule,Online only,"[""Quiet & Focused"", ""Flexible / Hybrid""]",20+ LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""UI/UX Design"", ""Excel"", ""Prototyping""]","[""AI"", ""Data Science"", ""Research"", ""Mobile Development""]","[""Attention to Detail"", ""Innovation"", ""Discipline"", ""Collaboration""]","[""Emotional Overreaction"", ""Difficulty Delegating""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Bootcamps"", ""Interactive quizzes""]",Moderate schedule,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid""]",10–20 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""NoSQL"", ""MongoDB""]","[""AI"", ""Data Science"", ""Research"", ""Education & Teaching"", ""Mobile Development""]","[""Active Listening"", ""Creativity"", ""Leadership"", ""Technical Ability""]","[""Social Anxiety""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""Webinars"", ""Interactive quizzes"", ""One-on-one tutoring""]",Moderate schedule,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid""]",10–20 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""HTML""]","[""AI"", ""Data Science"", ""Research""]","[""Resourcefulness"", ""Coding"", ""Patience"", ""Quick Learning""]","[""Stress Management"", ""Lack of Assertiveness""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""Text / Articles""]",Moderate schedule,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Fast-paced"", ""Fully Remote""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Cybersecurity"", ""Android Development""]","[""AI"", ""Data Science"", ""Research"", ""Web Development""]","[""Attention to Detail"", ""Multi-tasking"", ""Motivation"", ""Goal Orientation"", ""Open-Mindedness""]","[""Easily Distracted""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Webinars"", ""Workshops""]",Relaxed / self-paced,Online only,"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Structured / Process-driven"", ""Leadership-heavy""]",20+ LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Linux"", ""CI/CD"", ""Kubernetes""]","[""AI"", ""Data Science"", ""Research"", ""Startups & Entrepreneurship""]","[""Discipline"", ""Problem Solving"", ""Leadership""]","[""Overthinking"", ""Emotional Overreaction"", ""Introversion in Groups"", ""Difficulty Delegating""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""Bootcamps""]",Intensive / bootcamp,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""AWS"", ""Azure"", ""Flutter""]","[""AI"", ""Data Science"", ""Research""]","[""Work Ethics"", ""Emotional Intelligence"", ""Time Management"", ""Self-Management"", ""Programming""]","[""Lack of Assertiveness"", ""Disorganization"", ""Perfectionism"", ""Low Risk-Taking""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Webinars"", ""Text / Articles"", ""Video lectures"", ""One-on-one tutoring""]",Moderate schedule,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Independent Work""]",6–10 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research"", ""Cybersecurity""]","[""Innovation"", ""Time Management"", ""Leadership"", ""Multi-tasking"", ""Discipline""]","[""Impatience"", ""Avoiding Conflict""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""Bootcamps"", ""Interactive quizzes"", ""Text / Articles"", ""Workshops""]",Intensive / bootcamp,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Creative / Open""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research""]","[""Confidence"", ""Motivation"", ""Decision Making"", ""Open-Mindedness""]","[""Overthinking"", ""Trouble Saying No"", ""Stress Management"", ""Difficulty Prioritizing""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""Text / Articles""]",Moderate schedule,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Office Workspace""]",10–20 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Business Analysis""]","[""AI"", ""Data Science"", ""Research"", ""Mobile Development"", ""Product Management""]","[""Motivation"", ""Decision Making"", ""Problem Solving"", ""Work Ethics"", ""Patience"", ""Critical Thinking"", ""Technical Ability""]","[""Emotional Overreaction""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""Peer learning / Study groups"", ""Webinars"", ""One-on-one tutoring"", ""Video lectures""]",Intensive / bootcamp,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid""]",3–6 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""iOS Development"", ""Linux"", ""MongoDB""]","[""AI"", ""Data Science"", ""Research""]","[""Coding"", ""Technical Ability"", ""Innovation"", ""Strategic Planning"", ""Conflict Resolution""]","[""Social Anxiety"", ""Disorganization"", ""Slow Decision Making""]",Individual contributor,Analytical / data-driven,Dynamic environment,Calm under pressure,"[""Workshops"", ""Hands-on labs"", ""Interactive quizzes""]",Intensive / bootcamp,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Linux""]","[""AI"", ""Data Science"", ""Research"", ""Education & Teaching""]","[""Open-Mindedness"", ""Strategic Planning"", ""Self-Management"", ""Multi-tasking"", ""Communication""]","[""Emotional Overreaction"", ""Public Speaking""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Bootcamps"", ""Workshops""]",Moderate schedule,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Structured / Process-driven""]",3–6 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research"", ""Education & Teaching""]","[""Time Management"", ""Collaboration"", ""Goal Orientation"", ""Critical Thinking""]","[""Avoiding Conflict"", ""Social Anxiety"", ""Overthinking""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""One-on-one tutoring"", ""Hands-on labs"", ""Webinars"", ""Workshops""]",Relaxed / self-paced,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid""]",3–6 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""CSS"", ""Node.js""]","[""AI"", ""Data Science"", ""Research""]","[""Adaptability"", ""Coding"", ""Creativity""]","[""Lack of Assertiveness"", ""Stress Management"", ""Self-Doubt"", ""Taking on Too Much Work""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""Workshops"", ""One-on-one tutoring""]",Relaxed / self-paced,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Kubernetes"", ""NoSQL""]","[""AI"", ""Data Science"", ""Research"", ""Business & Analytics""]","[""Goal Orientation"", ""Adaptability"", ""Multi-tasking"", ""Resilience"", ""Communication"", ""Emotional Intelligence""]","[""Introversion in Groups"", ""Avoiding Conflict""]",Individual contributor,Analytical / data-driven,Dynamic environment,Calm under pressure,"[""Workshops""]",Moderate schedule,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid""]",Below 3 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Flutter"", ""Linux"", ""React Native""]","[""AI"", ""Data Science"", ""Research"", ""IoT"", ""Product Design""]","[""Adaptability"", ""Leadership"", ""Patience"", ""Attention to Detail"", ""Work Ethics"", ""Multi-tasking"", ""Quick Learning""]","[""Stress Management"", ""Easily Distracted"", ""Overthinking"", ""Underestimating Tasks""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""Webinars"", ""One-on-one tutoring""]",Moderate schedule,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Leadership-heavy""]",20+ LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research""]","[""Attention to Detail"", ""Presentation Skills"", ""Programming"", ""Problem Solving""]","[""Perfectionism"", ""Disorganization""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Hands-on labs""]",Intensive / bootcamp,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid""]",Below 3 LPA,Data Scientist
